"PACIFIC Exchange Rate Service"
"ISO4217","Jul.Day","YYYY/MM/DD","Wdy","Data"
"CAD/USD",2459948,"2023/01/03","Tue",1.3658
"CAD/USD",2459949,"2023/01/04","Wed",1.3508
"CAD/USD",2459950,"2023/01/05","Thu",1.3564
"CAD/USD",2459951,"2023/01/06","Fri",1.3486
"CAD/USD",2459954,"2023/01/09","Mon",1.3376
"CAD/USD",2459955,"2023/01/10","Tue",1.3421
"CAD/USD",2459956,"2023/01/11","Wed",1.3425
"CAD/USD",2459957,"2023/01/12","Thu",1.3378
"CAD/USD",2459958,"2023/01/13","Fri",1.3406
"CAD/USD",2459961,"2023/01/16","Mon",1.3397
"CAD/USD",2459962,"2023/01/17","Tue",1.3390
"CAD/USD",2459963,"2023/01/18","Wed",1.3439
"CAD/USD",2459964,"2023/01/19","Thu",1.3472
"CAD/USD",2459965,"2023/01/20","Fri",1.3421
"CAD/USD",2459968,"2023/01/23","Mon",1.3382
"CAD/USD",2459969,"2023/01/24","Tue",1.3370
"CAD/USD",2459970,"2023/01/25","Wed",1.3393
"CAD/USD",2459971,"2023/01/26","Thu",1.3349
"CAD/USD",2459972,"2023/01/27","Fri",1.3314
"CAD/USD",2459975,"2023/01/30","Mon",1.3356
"CAD/USD",2459976,"2023/01/31","Tue",1.3350
"CAD/USD",2459977,"2023/02/01","Wed",1.3321
"CAD/USD",2459978,"2023/02/02","Thu",1.3312
"CAD/USD",2459979,"2023/02/03","Fri",1.3391
"CAD/USD",2459982,"2023/02/06","Mon",1.3442
"CAD/USD",2459983,"2023/02/07","Tue",1.3435
"CAD/USD",2459984,"2023/02/08","Wed",1.3429
"CAD/USD",2459985,"2023/02/09","Thu",1.3427
"CAD/USD",2459986,"2023/02/10","Fri",1.3362
"CAD/USD",2459989,"2023/02/13","Mon",1.3343
"CAD/USD",2459990,"2023/02/14","Tue",1.3345
"CAD/USD",2459991,"2023/02/15","Wed",1.3411
"CAD/USD",2459992,"2023/02/16","Thu",1.3439
"CAD/USD",2459993,"2023/02/17","Fri",1.3487
"CAD/USD",2459997,"2023/02/21","Tue",1.3516
"CAD/USD",2459998,"2023/02/22","Wed",1.3542
"CAD/USD",2459999,"2023/02/23","Thu",1.3549
"CAD/USD",2460000,"2023/02/24","Fri",1.3622
"CAD/USD",2460003,"2023/02/27","Mon",1.3573
"CAD/USD",2460004,"2023/02/28","Tue",1.3609
"CAD/USD",2460005,"2023/03/01","Wed",1.3612
"CAD/USD",2460006,"2023/03/02","Thu",1.3614
"CAD/USD",2460007,"2023/03/03","Fri",1.3610
"CAD/USD",2460010,"2023/03/06","Mon",1.3615
"CAD/USD",2460011,"2023/03/07","Tue",1.3717
"CAD/USD",2460012,"2023/03/08","Wed",1.3785
"CAD/USD",2460013,"2023/03/09","Thu",1.3790
"CAD/USD",2460014,"2023/03/10","Fri",1.3807
"CAD/USD",2460017,"2023/03/13","Mon",1.3730
"CAD/USD",2460018,"2023/03/14","Tue",1.3677
"CAD/USD",2460019,"2023/03/15","Wed",1.3778
"CAD/USD",2460020,"2023/03/16","Thu",1.3744
"CAD/USD",2460021,"2023/03/17","Fri",1.3734
"CAD/USD",2460024,"2023/03/20","Mon",1.3674
"CAD/USD",2460025,"2023/03/21","Tue",1.3706
"CAD/USD",2460026,"2023/03/22","Wed",1.3712
"CAD/USD",2460027,"2023/03/23","Thu",1.3671
"CAD/USD",2460028,"2023/03/24","Fri",1.3763
"CAD/USD",2460031,"2023/03/27","Mon",1.3682
"CAD/USD",2460032,"2023/03/28","Tue",1.3626
"CAD/USD",2460033,"2023/03/29","Wed",1.3576
"CAD/USD",2460034,"2023/03/30","Thu",1.3533
"CAD/USD",2460035,"2023/03/31","Fri",1.3533
"CAD/USD",2460038,"2023/04/03","Mon",1.3438
"CAD/USD",2460039,"2023/04/04","Tue",1.3447
"CAD/USD",2460040,"2023/04/05","Wed",1.3457
"CAD/USD",2460041,"2023/04/06","Thu",1.3478
"CAD/USD",2460045,"2023/04/10","Mon",1.3527
"CAD/USD",2460046,"2023/04/11","Tue",1.3483
"CAD/USD",2460047,"2023/04/12","Wed",1.3447
"CAD/USD",2460048,"2023/04/13","Thu",1.3359
"CAD/USD",2460049,"2023/04/14","Fri",1.3362
"CAD/USD",2460052,"2023/04/17","Mon",1.3398
"CAD/USD",2460053,"2023/04/18","Tue",1.3387
"CAD/USD",2460054,"2023/04/19","Wed",1.3445
"CAD/USD",2460055,"2023/04/20","Thu",1.3469
"CAD/USD",2460056,"2023/04/21","Fri",1.3539
"CAD/USD",2460059,"2023/04/24","Mon",1.3542
"CAD/USD",2460060,"2023/04/25","Tue",1.3623
"CAD/USD",2460061,"2023/04/26","Wed",1.3625
"CAD/USD",2460062,"2023/04/27","Thu",1.3612
"CAD/USD",2460063,"2023/04/28","Fri",1.3578
"CAD/USD",2460066,"2023/05/01","Mon",1.3546
"CAD/USD",2460067,"2023/05/02","Tue",1.3618
"CAD/USD",2460068,"2023/05/03","Wed",1.3616
"CAD/USD",2460069,"2023/05/04","Thu",1.3566
"CAD/USD",2460070,"2023/05/05","Fri",1.3427
"CAD/USD",2460073,"2023/05/08","Mon",1.3354
"CAD/USD",2460074,"2023/05/09","Tue",1.3390
"CAD/USD",2460075,"2023/05/10","Wed",1.3375
"CAD/USD",2460076,"2023/05/11","Thu",1.3477
"CAD/USD",2460077,"2023/05/12","Fri",1.3534
"CAD/USD",2460080,"2023/05/15","Mon",1.3487
"CAD/USD",2460081,"2023/05/16","Tue",1.3456
"CAD/USD",2460082,"2023/05/17","Wed",1.3463
"CAD/USD",2460083,"2023/05/18","Thu",1.3500
"CAD/USD",2460084,"2023/05/19","Fri",1.3503
"CAD/USD",2460088,"2023/05/23","Tue",1.3504
"CAD/USD",2460089,"2023/05/24","Wed",1.3582
"CAD/USD",2460090,"2023/05/25","Thu",1.3628
"CAD/USD",2460091,"2023/05/26","Fri",1.3623
"CAD/USD",2460094,"2023/05/29","Mon",1.3593
"CAD/USD",2460095,"2023/05/30","Tue",1.3598
"CAD/USD",2460096,"2023/05/31","Wed",1.3603
"CAD/USD",2460097,"2023/06/01","Thu",1.3482
"CAD/USD",2460098,"2023/06/02","Fri",1.3435
"CAD/USD",2460101,"2023/06/05","Mon",1.3434
"CAD/USD",2460102,"2023/06/06","Tue",1.3419
"CAD/USD",2460103,"2023/06/07","Wed",1.3376
"CAD/USD",2460104,"2023/06/08","Thu",1.3358
"CAD/USD",2460105,"2023/06/09","Fri",1.3341
"CAD/USD",2460108,"2023/06/12","Mon",1.3366
"CAD/USD",2460109,"2023/06/13","Tue",1.3310
"CAD/USD",2460110,"2023/06/14","Wed",1.3297
"CAD/USD",2460111,"2023/06/15","Thu",1.3252
"CAD/USD",2460112,"2023/06/16","Fri",1.3198
"CAD/USD",2460115,"2023/06/19","Mon",1.3206
"CAD/USD",2460116,"2023/06/20","Tue",1.3241
"CAD/USD",2460117,"2023/06/21","Wed",1.3183
"CAD/USD",2460118,"2023/06/22","Thu",1.3160
"CAD/USD",2460119,"2023/06/23","Fri",1.3199
"CAD/USD",2460122,"2023/06/26","Mon",1.3151
